turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG515,7,1454814900000,1454824800000_1454814900000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.9062663831104505,0.00249806213875534
data-WTG515,7,1454814900000,1454824800000_1454814900000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,87.69431122337791,0.00014610836036855468
data-WTG515,7,1454725800000,1454738400000_1454725800000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,47.01818365527489,7.809025423732223e-05
data-WTG515,7,1454725800000,1454738400000_1454725800000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,68.60030074294205,0.00022920080109512688
data-WTG515,7,1454725800000,1454738400000_1454725800000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,5.228524794452699,0.0010164712782930812
data-WTG515,7,1454725800000,1454738400000_1454725800000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,66.39070304110946,0.0035463407081048194
data-WTG515,7,1459028400000,1459036800000_1459028400000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,43.60907946508173,0.00014170191723400096
data-WTG515,7,1459028400000,1459036800000_1459028400000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,63.62636184249629,0.0005313339125971265
data-WTG515,7,1459028400000,1459036800000_1459028400000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,4.849424956909361,0.0023034587242731558
data-WTG515,7,1459028400000,1459036800000_1459028400000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,61.57697340861813,0.00020181811544795508
data-WTG515,7,1454888700000,1454889600000_1454888700000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,54.5130352154532,0.001662138480281728
data-WTG515,7,1454888700000,1454889600000_1454888700000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,79.53541203566121,0.00012652046817268855
data-WTG515,7,1454888700000,1454889600000_1454888700000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.061968670133729,0.0010189701186198064
data-WTG515,7,1454888700000,1454889600000_1454888700000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,76.97359726597325,0.00010766954896362356
data-WTG515,6,1454862300000,1454868000000_1454862300000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,365.0164386329866,0.0009468442496719104
data-WTG515,6,1454862300000,1454868000000_1454862300000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,410.86391401684006,0.00026708334300949574
data-WTG515,6,1454862300000,1454868000000_1454862300000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,7.05345775136206,0.0008950681676490681
data-WTG515,6,1454862300000,1454868000000_1454862300000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,273.32148786527983,0.0003676189582459855
data-WTG515,6,1454862300000,1454868000000_1454862300000_21600_HPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,775.8803526498266,0.00038049779843043075
data-WTG515,6,1454862300000,1454868000000_1454862300000_21600_HPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1551.7607052996532,
data-WTG515,6,1459036800000,1459036800000_1459036800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,246.6415150074294,0.0005482590171729948
data-WTG515,6,1459036800000,1459036800000_1459036800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,277.6206424962853,0.00045512440936337767
data-WTG515,6,1459036800000,1459036800000_1459036800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,4.766019613670134,0.00018795042087310174
data-WTG515,6,1459036800000,1459036800000_1459036800000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,184.68326002971767,0.0005193143430548747
data-WTG515,6,1459036800000,1459036800000_1459036800000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,524.2621575037147,0.0009171323953579536
data-WTG515,6,1459036800000,1459036800000_1459036800000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1048.5243150074293,0.0011598673596965312
data-WTG515,6,1454781000000,1454781600000_1454781000000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,337.72420118870724,0.0007375799042638462
data-WTG515,6,1454781000000,1454781600000_1454781000000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,380.143666072313,0.0004183943835927368
