turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG511,1,1453075200000,1453075200000_1453074900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,69640.07463031202,
data-WTG511,1,1453075200000,1453075200000_1453074900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,552.6990050024764,0.00014890223128009492
data-WTG511,1,1453075200000,1453075200000_1453074900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,40752.37681544959,
data-WTG511,1,1453096800000,1453096800000_1453086900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,56661.11174204557,
data-WTG511,1,1453096800000,1453096800000_1453086900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,75950.00084572066,
data-WTG511,1,1453096800000,1453096800000_1453086900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,602.7777844898465,0.00028937118723613287
data-WTG511,1,1453096800000,1453096800000_1453086900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,44444.85549490365,
data-WTG511,1,1453096800000,1453096800000_1453096500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,56655.476794231305,
data-WTG511,1,1453096800000,1453096800000_1453096500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,75942.44761779941,
data-WTG511,1,1453096800000,1453096800000_1453096500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,602.7178382365032,7.47517879583156e-05
data-WTG511,1,1453096800000,1453096800000_1453096500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,44440.43545382739,
data-WTG511,1,1453118400000,1453118400000_1453118400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69518.46133644873,
data-WTG511,1,1453118400000,1453118400000_1453118400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93184.32051481426,
data-WTG511,1,1453118400000,1453118400000_1453118400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,739.5580993239226,7.194905116781941e-05
data-WTG511,1,1453118400000,1453118400000_1453118400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54530.13316069052,
data-WTG511,1,1453140000000,1453140000000_1453131000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,45135.53522356612,
data-WTG511,1,1453140000000,1453140000000_1453131000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,60500.82381031203,
data-WTG511,1,1453140000000,1453140000000_1453131000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,480.1652683358098,0.0001217194244113022
data-WTG511,1,1453140000000,1453140000000_1453131000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,35404.2177963116,
data-WTG511,1,1453140000000,1453140000000_1453140000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,45135.37984561664,
data-WTG511,1,1453140000000,1453140000000_1453140000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,60500.615537741454,
data-WTG511,1,1453140000000,1453140000000_1453140000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,480.16361537890043,7.379941665279567e-05
data-WTG511,1,1453140000000,1453140000000_1453140000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,35404.09591817862,
data-WTG511,1,1453161600000,1453161600000_1453160100000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,60061.38891543338,
data-WTG511,1,1453161600000,1453161600000_1453160100000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,80507.81918451708,
data-WTG511,1,1453161600000,1453161600000_1453160100000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,638.9509459088657,0.0001155331276522811
data-WTG511,1,1453161600000,1453161600000_1453160100000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,47112.02567507676,
data-WTG511,1,1453161600000,1453161600000_1453161600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,60060.748906260524,
data-WTG511,1,1453161600000,1453161600000_1453161600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,80506.96129988114,
